Title,Year,Type,Rating,Votes,Score,ID,Link
The Handmaid's Tale,2017,TV Series,8.3,286406,306,tt5834204,https://www.imdb.com/title/tt5834204
Watchmen,2019,TV Series,8.2,141889,278,tt7049682,https://www.imdb.com/title/tt7049682
The End of the F***ing World,2017,TV Series,8,237367,261,tt6257970,https://www.imdb.com/title/tt6257970
Dirk Gently's Holistic Detective Agency,2016,TV Series,8.1,60777,249,tt4047038,https://www.imdb.com/title/tt4047038
The Orville,2017,TV Series,8,105926,247,tt5691552,https://www.imdb.com/title/tt5691552
The Gentlemen,2019,Movie,7.8,438461,246,tt8367814,https://www.imdb.com/title/tt8367814
Being John Malkovich,1999,Movie,7.7,363643,231,tt0120601,https://www.imdb.com/title/tt0120601
Preacher,2016,TV Series,7.9,85428,231,tt5016504,https://www.imdb.com/title/tt5016504
Mr. Nobody,2009,Movie,7.7,253265,225,tt0485947,https://www.imdb.com/title/tt0485947
Something the Lord Made,2004,Movie,8.1,16653,225,tt0386792,https://www.imdb.com/title/tt0386792
Paradise,2025,TV Series,7.9,48937,222,tt27444205,https://www.imdb.com/title/tt27444205
Evil,2019,TV Series,7.8,49149,211,tt9055008,https://www.imdb.com/title/tt9055008
Doom Patrol,2019,TV Series,7.7,62131,204,tt8416494,https://www.imdb.com/title/tt8416494
The Amazing Digital Circus,2023,TV Series,8,7290,199,tt27610198,https://www.imdb.com/title/tt27610198
Ozzy & Jack's World Detour,2016,TV Series,8.4,909,197,tt5725682,https://www.imdb.com/title/tt5725682
Bridegroom,2013,Movie,8,5105,193,tt2357788,https://www.imdb.com/title/tt2357788
Catch-22,2019,TV Series,7.7,22337,188,tt5056196,https://www.imdb.com/title/tt5056196
When the Wind Blows,1986,Movie,7.7,13797,181,tt0090315,https://www.imdb.com/title/tt0090315
Light Shop,2024,TV Series,7.8,5247,175,tt31014115,https://www.imdb.com/title/tt31014115
State of Siege,1972,Movie,7.7,6481,169,tt0070959,https://www.imdb.com/title/tt0070959
They Live,1988,Movie,7.2,156447,166,tt0096256,https://www.imdb.com/title/tt0096256
Tales from the Loop,2020,TV Series,7.4,25284,162,tt8741290,https://www.imdb.com/title/tt8741290
Shazam!,2019,Movie,7,403574,159,tt0448115,https://www.imdb.com/title/tt0448115
Ratched,2020,TV Series,7.2,76546,158,tt7423538,https://www.imdb.com/title/tt7423538
Secret Level,2024,TV Series,7.3,28163,155,tt33204697,https://www.imdb.com/title/tt33204697
Masters of Horror,2005,TV Series,7.4,13908,154,tt0448190,https://www.imdb.com/title/tt0448190
Nowhere Special,2020,Movie,7.4,8662,148,tt11286640,https://www.imdb.com/title/tt11286640
Wolf Like Me,2022,TV Series,7.3,11952,144,tt14452228,https://www.imdb.com/title/tt14452228
The Bothersome Man,2006,Movie,7.2,18707,142,tt0808185,https://www.imdb.com/title/tt0808185
The Brand New Testament,2015,Movie,7.1,36429,141,tt3792960,https://www.imdb.com/title/tt3792960
The One I Love,2014,Movie,7,45742,136,tt2756032,https://www.imdb.com/title/tt2756032
Mickey 17,2025,Movie,6.8,178342,134,tt12299608,https://www.imdb.com/title/tt12299608
Escape Plan,2013,Movie,6.7,266294,129,tt1211956,https://www.imdb.com/title/tt1211956
